"","Incident Date","State","City Or County","Address","Killed","Injured"
"1",2016-06-12,"Florida","Orlando","1912 S Orange Avenue",51,49
"2",2016-06-11,"Minnesota","Webster","4000 block of Elmore Avenue",0,4
"3",2016-06-11,"California","Stockton","Alvarado Avenue",1,3
"4",2016-06-11,"California","Panorama City","8500 block of Cedros Avenue",3,2
"5",2016-06-11,"New Mexico","Roswell","2300 block of Davis Ave",5,0
"6",2016-06-11,"North Carolina","Charlotte","4000 block of Collegiate Avenue",1,3
"7",2016-06-09,"Florida","Fort Walton Beach","Landview Drive",0,4
"8",2016-06-08,"Massachusetts","Boston","66 Washington St",1,3
"9",2016-06-08,"District of Columbia","Washington","North Capitol Street and New York Avenue NW",0,4
"10",2016-06-06,"California","Visalia","33 60 South Fairway Street",0,4
"11",2016-06-05,"Minnesota","Minneapolis","8th and Humboldt Avenue N.",0,4
"12",2016-06-05,"Florida","Cape Coral","2600 block of Skyline Boulevard S",3,3
"13",2016-06-05,"New York","Brooklyn","Mermaid Ave and 16th St.",0,4
"14",2016-06-05,"Arizona","Phoenix","8152 N Black Canyon Hwy",2,5
"15",2016-06-04,"Colorado","Denver","3600 block of Hudson Street",3,1
"16",2016-05-31,"Illinois","Chicago","3300 block of West Huron Street",0,4
"17",2016-05-31,"Indiana","Fort Wayne","6600 block of Pawawna Drive",0,4
"18",2016-05-30,"Maryland","Baltimore","500 block of East 43rd Street",0,5
"19",2016-05-30,"California","Sacramento","3900 block of 44th",0,5
"20",2016-05-29,"Nevada","Las Vegas","200 block of North 3rd Street",0,4
"21",2016-05-29,"Texas","Houston","13210 Memorial Drive",2,6
"22",2016-05-29,"New Jersey","Trenton","600 block of Martin Luther King Jr. Boulevard",0,6
"23",2016-05-29,"Indiana","Indianapolis","300 block of South Meridian Street",0,4
"24",2016-05-23,"New Jersey","Newark","102 Isabella Avenue",0,5
"25",2016-05-22,"Louisiana","New Orleans","8639 Apple St",0,4
"26",2016-05-22,"California","Stockton","Poplar and Sutter Streets",1,3
"27",2016-05-22,"Tennessee","Nashville","100 block of Rains Avenue",0,4
"28",2016-05-21,"Georgia","Jackson","Levi Barnes Road",1,3
"29",2016-05-18,"Indiana","Indianapolis","34th Street and North Keystone Avenue",0,4
"30",2016-05-17,"South Carolina","Ravenel","5360 Savannah Highway",3,1
"31",2016-05-15,"Georgia","Moultrie","Rossman Dairy Road",5,0
"32",2016-05-15,"Indiana","Evansville","420 North Garvin Street",0,4
"33",2016-05-14,"Georgia","Atlanta","Cordova and Peoples Street",0,5
"34",2016-05-14,"West Virginia","Charleston","2300 block of Washington Street West",1,3
"35",2016-05-11,"Alabama","Birmingham","1400 block of 21st Street N",1,4
"36",2016-05-11,"Illinois","Chicago","7100 block of South State Street",0,5
"37",2016-05-08,"Texas","Austin","8600 block of North Lamar",1,3
"38",2016-05-06,"Michigan","Detroit","12300 Block of Gratiot",1,4
"39",2016-05-06,"Alabama","Montgomery","1300 block of Clay Street",1,3
"40",2016-05-06,"Maryland","Bethesda","7101 Democracy Blvd",3,3
"41",2016-05-05,"Louisiana","Shreveport","300 block of North Thomas Drive",2,6
"42",2016-05-05,"Florida","Miami","2108 NW 19th Terrace",1,3
"43",2016-05-04,"Minnesota","Minneapolis","16th Avenue North and Newton Avenue North",1,7
"44",2016-05-01,"Tennessee","Murfreesboro","1955 Old Castle Drive",0,5
"45",2016-04-29,"Missouri","Saint Louis (Ferguson)","400 block of Dade Avenue",0,4
"46",2016-04-29,"California","Oakland","3200 block of San Pablo Avenue",0,5
"47",2016-04-27,"Louisiana","Baton Rouge","Kerrit Drive",1,3
"48",2016-04-27,"Mississippi","Kilmichael","Pecan Drive",3,1
"49",2016-04-26,"Maryland","District Heights (Forestville)","6500 block of Hil-Mar Drive",1,4
"50",2016-04-25,"Tennessee","Nashville","400 Charlotte Avenue",0,4
"51",2016-04-25,"Florida","Miami","1506 Northwest 70th Street",0,5
"52",2016-04-24,"Virginia","Halifax","1055 L P Bailey Memorial Hwy",0,5
"53",2016-04-24,"Illinois","Chicago (Englewood)","2000 block of West 68th Place",2,3
"54",2016-04-24,"Colorado","Denver","1400 Block of 14th Street",0,4
"55",2016-04-23,"Nevada","Las Vegas","1650 South Hollywood Boulevard",1,3
"56",2016-04-23,"Alabama","Auburn","1200 block of Lee Road 83",3,1
"57",2016-04-23,"Kansas","Topeka","3732 S.W. Topeka Boulevard",1,4
"58",2016-04-23,"New York","New York (Manhattan)","West 141st Street and Edgecombe Avenue",0,4
"59",2016-04-22,"Ohio","Piketon","4077 Union Hill Road",8,0
"60",2016-04-22,"Georgia","Appling","3162 Johnson Drive",6,0
"61",2016-04-21,"Maryland","Baltimore","4800 block of Frankford Avenue",0,4
"62",2016-04-19,"Alabama","Blountsville","81551 Us Highway 278",1,4
"63",2016-04-19,"Illinois","Chicago","2700 block of West 53rd Street",1,3
"64",2016-04-19,"Illinois","Chicago","1400 block of West 84th Street",1,4
"65",2016-04-18,"California","Long Beach","1200 block of E. 17th Street",1,3
"66",2016-04-17,"Pennsylvania","Philadelphia","600 block of Westmoreland Street",3,1
"67",2016-04-17,"South Carolina","Pelzer","200 block of Eastview Road",1,3
"68",2016-04-17,"Texas","Edinburg","5021 W St Hwy 107",1,6
"69",2016-04-16,"Michigan","Detroit","9500 block of Oakland",1,4
"70",2016-04-16,"Florida","Orlando","1100 block of Conley Street",2,4
"71",2016-04-16,"Alabama","Enterprise","Baxter Street",0,4
"72",2016-04-14,"New Jersey","Orange","Taylor Street",1,3
"73",2016-04-10,"Wisconsin","Milwaukee","76th and Sheridan",1,3
"74",2016-04-10,"California","Los Angeles","84th Street and Towne Avenue",0,4
"75",2016-04-09,"Tennessee","Memphis","Mt Moriah Road and Ridgeway Road",0,4
"76",2016-04-09,"Alabama","Anniston","West 15th Street and Crawford Avenue",0,4
"77",2016-04-09,"New Mexico","Albuquerque","2600 block of Mesa Drive SE",0,4
"78",2016-04-07,"Illinois","Chicago","2200 block of East 70th Place",0,4
"79",2016-03-31,"Illinois","Chicago (Englewood)","6800 block of South Throop",0,4
"80",2016-03-25,"Illinois","Chicago","4500 block of West West End Avenue",0,4
"81",2016-03-25,"Colorado","Denver","8501 E. Alameda Avenue",0,4
"82",2016-03-21,"Illinois","Chicago","5700 block of West Washington Boulevard",0,4
"83",2016-03-19,"Florida","Plantation","12050 NW 4th Court",1,4
"84",2016-03-19,"Alabama","Wetumpka","South Shelby Street",2,2
"85",2016-03-15,"Georgia","Atlanta","Donald Lee Hollowell Drive",0,5
"86",2016-03-13,"Florida","Fort Myers","50 South Road",0,4
"87",2016-03-12,"Oregon","Portland","16126 S.E. Stark St.",0,4
"88",2016-03-12,"California","Oakland","Interstate 880",0,4
"89",2016-03-11,"Michigan","Detroit","2600 Block of Hazelwood",2,2
"90",2016-03-11,"New Jersey","Trenton","Oliver Avenue",0,5
"91",2016-03-09,"Pennsylvania","Pittsburgh (Wilkinsburg)","1304 Franklin Avenue",5,3
"92",2016-03-08,"Texas","San Antonio","Sherman Street",2,3
"93",2016-03-07,"Louisiana","Lafayette","800 block of Martin Luther King Jr. Drive",0,4
"94",2016-03-07,"Kansas","Kansas City","3000 block of South 36th Street",5,0
"95",2016-03-06,"Massachusetts","Chelsea","120 Washington Avenue",1,6
"96",2016-03-06,"Georgia","Roswell","890 Atlanta St",0,4
"97",2016-03-06,"California","Compton","900 block of West Victoria Street",1,8
"98",2016-03-05,"Kansas","Wichita","116 North Mead",0,4
"99",2016-03-04,"Ohio","Columbus","900 E. 5th Ave.",1,3
"100",2016-02-28,"Michigan","Detroit","8800 block of Livernois",0,5
"101",2016-02-28,"California","Riverside (Jurupa Valley)","5500 block of Etiwanda Avenue",1,3
